id,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
Q01,-9.06,-6.24,e,l,y,-17.25,13.47,-9.97,-9.37,8.36
Q02,-10.93,-0.05,e,l,y,-5.69,-6.59,-8.48,-17.99,-8.84
Q03,-9.06,0.07,e,p,y,-26.56,7.69,-15.15,-9.59,-21.66
Q04,5.94,10.92,h,n,v,36.03,-2.95,22.84,-16.83,7.12
Q05,27.87,37.07,i,m,u,1.32,0.71,-17.56,-6.77,4.05
Q06,-9.49,1.17,g,n,u,31.7,-18.75,3.05,5.02,19.09
Q07,1.78,-1.09,e,l,u,41.81,8.74,-2.88,-42.59,-5.83
Q08,-5.82,8.85,e,p,u,30.82,7.79,-20.49,-41.73,-1.85
Q09,-6.36,-2.47,e,l,y,-2.79,21.72,-6.36,-27.26,-13.94
Q10,-16.34,-8.0,g,o,u,1.29,-7.36,-11.29,23.43,-2.02
