id,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,y
id-001,4.98,0.55,e,n,y,8.29,1.29,-8.6,-20.77,-15.64,
id-002,3.71,6.33,g,n,v,9.84,-1.12,-4.0,-18.82,-7.02,D
id-003,26.5,,e,o,v,21.63,20.27,13.96,3.36,0.66,D
id-004,11.39,6.29,h,o,w,0.7,11.14,7.19,15.62,1.59,A
id-005,5.95,4.4,f,l,v,30.71,6.22,30.21,4.33,-4.27,D
id-006,14.07,-7.99,g,o,u,-21.16,-9.17,-10.81,1.19,8.97,C
id-007,,-3.7,,p,,10.94,30.49,-8.47,-0.1,4.51,D
id-008,-9.31,34.84,f,l,y,-7.83,-34.83,0.54,-18.94,13.83,D
id-009,-2.98,5.11,e,p,w,-13.78,13.72,-19.77,5.17,14.79,C
,4.74,10.69,i,l,y,16.39,-9.53,10.25,-16.84,4.16,
id-011,4.71,14.5,g,n,v,4.94,1.32,-6.41,-13.85,-25.1,D
id-012,10.82,-13.6,g,m,w,7.53,-4.64,10.15,-3.06,-15.15,D
id-013,-0.51,-7.29,e,n,u,7.0,-0.5,-0.52,-9.56,1.56,D
id-014,0.23,0.68,e,p,w,,16.9,-23.2,-13.16,9.42,D
id-015,9.97,-2.99,f,m,x,3.91,-16.83,4.14,-16.84,1.76,D
id-016,7.86,11.8,g,p,x,7.51,30.65,,-5.13,-7.37,D
id-017,-0.78,-5.98,e,p,y,-21.03,22.72,-36.52,0.79,-11.49,C
id-018,3.52,17.23,g,p,x,2.28,22.74,-6.82,8.32,-4.33,A
id-019,2.2,26.6,e,l,w,19.73,-13.55,45.22,19.55,27.4,B
id-020,5.79,9.15,h,o,x,11.46,12.07,-6.14,-12.1,10.22,D
id-021,-35.95,1.88,f,l,v,7.58,-7.95,33.52,33.07,-12.29,C
id-022,20.31,0.15,,p,y,18.07,20.41,1.56,-6.26,2.0,D
id-023,-1.62,-0.52,f,n,x,-19.16,-12.07,11.42,27.19,-7.03,C
id-024,2.25,6.95,g,m,u,-1.61,-24.0,-3.53,-24.4,-0.2,D
id-025,17.64,-12.87,h,m,w,21.2,2.22,16.62,-7.05,-3.39,D
id-026,11.8,10.28,h,n,u,,-10.72,15.66,14.88,4.4,C
,-1.23,-28.37,e,o,v,10.75,15.85,-10.68,-12.0,5.67,D
id-028,-13.7,0.19,i,o,x,-1.17,3.63,-20.61,-18.03,16.51,D
id-029,6.55,-1.04,g,o,v,-17.9,-6.91,-2.37,11.34,-6.8,C
id-030,11.83,6.13,i,m,w,8.58,-2.65,21.83,11.75,0.46,B
id-031,6.33,3.01,f,o,y,5.48,14.97,3.69,9.93,6.37,A
id-032,0.23,18.31,e,n,v,2.74,-4.29,-5.39,-13.95,15.66,D
id-033,17.98,3.52,e,m,v,11.36,-10.81,24.37,2.89,5.11,D
id-034,-18.26,-8.67,e,p,x,-2.18,26.17,-3.67,25.46,-13.49,C
id-035,-8.95,-9.43,g,l,y,18.28,-14.32,16.4,-12.84,6.4,B
id-036,13.68,-4.58,i,o,v,12.9,10.01,-0.09,-9.88,-1.14,D
id-037,-13.34,-7.07,g,n,w,1.14,3.58,7.97,14.59,6.25,
id-038,11.57,-18.22,i,m,y,-0.77,-20.85,1.53,-18.3,1.76,D
id-039,-5.68,7.92,e,o,u,-35.73,-19.68,-27.83,-7.33,17.3,A
id-040,-30.22,7.06,i,m,y,-0.51,0.78,19.61,32.23,1.95,C
id-041,22.54,-1.53,f,l,y,8.12,-22.3,34.63,8.36,-1.1,B
id-042,7.0,-3.48,g,m,x,7.73,,5.65,-17.82,3.84,D
id-043,15.5,-1.1,f,l,u,17.96,-32.37,60.02,20.43,9.09,B
id-044,6.27,-6.51,g,p,v,,7.79,-25.98,-11.64,-14.28,A
id-045,-6.91,13.77,h,p,v,-22.23,6.84,-28.27,-0.38,6.73,C
id-046,29.86,-2.5,e,p,w,-5.18,9.05,-8.68,-2.78,11.37,B
id-047,-28.48,20.91,f,m,y,10.15,17.52,21.77,36.5,5.4,C
id-048,6.21,-15.71,h,p,y,-32.27,-0.09,-41.25,-13.29,-0.68,C
